Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
SEMI-TRAILER TANK FUEL 5000 GAL,SEMI-TRAILER TANK FUEL 5000 GAL,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,1,1,1,0,1,90610,18122,-80.00%,84,3751.254
"TRUCK, CARGO, DPSD, 5T","TRUCK, CARGO, DPSD, 5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,1,1,1,0,1,75278,22583.4,-70.00%,84,3357.3988
"TRUCK, TRACTOR, LIGHT EQUIP","TRUCK, TRACTOR, LIGHT EQUIP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,1,1,1,0,1,69310,20793,-70.00%,84,3091.226
"TRAILER, CARGO 1.5T","TRAILER, CARGO 1.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,1888,755.2,-60.00%,84,90.2464
"TRAILER, CARGO 1.5T","TRAILER, CARGO 1.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,17048,5114.4,-70.00%,84,760.3408
SEMITRAILER FLAT BED 34T,SEMITRAILER FLAT BED 34T,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,40008,16003.2,-60.00%,84,1912.3824
"SEMITRAILER, LOWBED 22.5T","SEMITRAILER, LOWBED 22.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,29843.36,5968.67,-80.00%,84,1235.51504
"SEMITRAILER, STAKE 34T","SEMITRAILER, STAKE 34T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,40000,12000,-70.00%,84,1784
SEMI-TRAILER TANK FUEL 5000 GAL,SEMI-TRAILER TANK FUEL 5000 GAL,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,100000,20000,-80.00%,84,4140
TRAILER TANK 5000 GAL,TRAILER TANK 5000 GAL,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,145600,29120,-80.00%,84,6027.84
SEMI-TRAILER LOWBED 35T,SEMI-TRAILER LOWBED 35T,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,53920,21568,-60.00%,84,2577.376
"SEMITRAILER, LOWBED 22.5T","SEMITRAILER, LOWBED 22.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,29843.36,11937.34,-60.00%,84,1426.51248
"SHOP EQUIP, ORGZNL MAINT, TRUCK MOUNTED","SHOP EQUIP, ORGZNL MAINT, TRUCK MOUNTED",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,2,2,2,0,2,310822,93246.6,-70.00%,84,13862.6612
"SEMITRAILER, LOW BED 22.5T","SEMITRAILER, LOWBED 22.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,3,3,3,0,3,52647,10529.4,-80.00%,84,2179.5858
SEMI-TRAILER TANK 5000 GAL JET FUEL,SEMI-TRAILER TANK 5000 GAL JET FUEL,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,3,3,3,0,3,232650,46530,-80.00%,84,9631.71
"TRUCK, CARGO, 2.5T, ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,3,3,3,0,3,169500,50850,-70.00%,84,7559.7
TRAILER CARGO 1.5T,"TRAILER, CARGO 1.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,3,3,3,0,3,2832,1132.8,-60.00%,84,135.3696
"SEMITRAILER, STAKE 20T","SEMITRAILER, STAKE 20T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,4,4,4,0,4,66528,26611.2,-60.00%,84,3180.0384
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,4,4,4,0,4,226000,67800,-70.00%,84,10079.6
"TRUCK, CARGO, 5T","TRUCK, CARGO, 5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,4,4,4,0,4,267432,80229.6,-70.00%,84,11927.4672
TRAILER CARGO 1.4T,TRAILER CARGO 1.4T,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,5,5,5,0,5,44770,17908,-60.00%,84,2140.006
"SEMITRAILER, STAKE 34T","SEMITRAILER, STAKE 34T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,6,6,6,0,6,120000,48000,-60.00%,84,5736
"SEMITRAILER, LOW BED 22.5T","SEMITRAILER, LOWBED 22.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,7,7,7,0,7,122843,36852.9,-70.00%,84,5478.7978
"TRAILER, CARGO 3/4T","TRAILER, CARGO 3/4T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,7,7,7,0,7,27258,8177.4,-70.00%,84,1215.7068
"TRUCK, CARGO, 2.5T, ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,10,10,10,0,10,565000,113000,-80.00%,84,23391
"TRAILER, CARGO 3/4T","TRAILER, CARGO 3/4T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,12,12,12,0,12,46728,18691.2,-60.00%,84,2233.5984
"TRUCK, CARGO, 2.5T, ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,18,18,18,0,18,1017000,203400,-80.00%,84,42103.8
TRAILER TANK 5000 GAL,TRAILER TANK 5000 GAL,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,25,25,25,0,25,1820000,364000,-80.00%,84,75348
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,37,37,37,0,37,2090500,418100,-80.00%,84,86546.7
"TRAILER, CARGO 1.5T","TRAILER, CARGO 1.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,47,47,47,0,47,400628,160251.2,-60.00%,84,19150.0184
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/26/2011,55,55,55,0,55,3107500,621500,-80.00%,84,128650.5
TRUCK CARGO 2.5T ESP,"TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,56500,5650,-90.00%,87,2158.3
"TRUCK, CARGO, 2.5T, ESP, WW","TRUCK, CARGO, 2.5T, ESP, WW",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,62144,18643.2,-70.00%,87,2771.6224
"TRUCK, CARGO, 2.5T, ESP, WW","TRUCK, CARGO, 2.5T, ESP, WW",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,62144,6214.4,-90.00%,87,2373.9008
"TRUCK, TANK, WATER, 2.5T","TRUCK, TANK, WATER, 2.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,77595,23278.5,-70.00%,87,3460.737
"TRUCK, CARGO, 5T","TRUCK, CARGO, 5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,72040,14408,-80.00%,87,2982.456
"TRUCK, WRECKER, 5T PIP","TRUCK, WRECKER, 5T PIP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,125736,37720.8,-70.00%,87,5607.8256
"TRUCK, CARGO, 5T XLWB","TRUCK, CARGO, 5T XLWB",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,83430,16686,-80.00%,87,3454.002
"TRUCK, TRACTOR 5T","TRUCK, TRACTOR, 5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,70996,28398.4,-60.00%,87,3393.6088
"SEMI-TRAILER, VAN, RPTS 6T","SEMI-TRAILER, VAN, RPTS 6T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,32952,9885.6,-70.00%,87,1469.6592
SEMITRAILER FLAT BED 34.00 TONS,SEMITRAILER FLAT BED 34.00 TONS,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,1,1,1,0,1,20004,8001.6,-60.00%,87,956.1912
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,2,2,2,0,2,113000,45200,-60.00%,87,5401.4
"TRUCK, TANK, FUEL TRUCK, 2.5T","TRUCK, TANK, FUEL, 2.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,2,2,2,0,2,196324,39264.8,-80.00%,87,8127.8136
"TRAILER, CARGO, 3/4 TON","TRAILER, CARGO 3/4 TON",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,2,2,2,0,2,5148,1544.4,-70.00%,87,229.6008
SEMITRAILER STAKE 20.00 TONS,SEMITRAILER STAKE 20.00 TONS,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,2,2,2,0,2,33264,13305.6,-60.00%,87,1590.0192
SEMITRAILER STAKE 34.00 TONS,SEMITRAILER STAKE 34.00 TONS,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,2,2,2,0,2,40000,16000,-60.00%,87,1912
SHOP EQUIP ORGNZL MAINT,SHOP EQUIP ORGNZL MAINT,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,2,2,2,0,2,310822,62164.4,-80.00%,87,12868.0308
"TRUCK, CARGO, 2.5T, ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,4,4,4,0,4,226000,67800,-70.00%,87,10079.6
TRAILER CARGO 1.5 TON,TRAILER CARGO 1.5 TON,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,6,6,6,0,6,51144,15343.2,-70.00%,87,2281.0224
SEMITRAILER LOW BED,SEMITRAILER LOW BED,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,6,6,6,0,6,105294,21058.8,-80.00%,87,4359.1716
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,8,8,8,0,8,452000,90400,-80.00%,87,18712.8
"TRAILER, CARGO 3/4 TON","TRAILER, CARGO 3/4 TON",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,8,8,8,0,8,31152,12460.8,-60.00%,87,1489.0656
"TRUCK, CARGO, 2.5T, ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,9,9,9,0,9,508500,101700,-80.00%,87,21051.9
"TRAILER, CARGO 3/4 TON","TRAILER, CARGO 3/4 TON",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,14,14,14,0,14,54516,10903.2,-80.00%,87,2256.9624
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,17,17,17,0,17,960500,288150,-70.00%,87,42838.3
"SEMITRAILER, LOWBED 22.5T","SEMITRAILER, LOWBED 22.5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,39,39,39,0,39,954837,190967.4,-80.00%,87,39530.2518
"TRAILER, CARGO 3/4 TON","TRAILER, CARGO 3/4 TON",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,3/29/2011,58,58,58,0,58,225852,67755.6,-70.00%,87,10072.9992
"VEHICLE, COMBAT, ITV","VEHICLE, COMBAT, ITV",Grant Authority,1/1/2011,Army,Bahrain,EDA Cancelled,4/14/2011,16,16,0,0,0,5918496,1183699.2,-80.00%,103,245025.7344
M1059 CARRIER SMOKE GENERATOR,M1059 CARRIER SMOKE GENERATOR,Grant Authority,1/1/2011,Army,Bahrain,EDA Cancelled,4/14/2011,42,42,0,0,0,10710000,2142000,-80.00%,103,443394
ARMORED PERSONNEL CARRIER,ARMORED PERSONNEL CARRIER,Grant Authority,1/1/2011,Army,Bahrain,EDA Cancelled,4/14/2011,63,63,0,0,0,15402492,3080498.4,-80.00%,103,637663.1688
"CARRIER, CARGO","CARRIER, CARGO",Grant Authority,1/1/2011,Army,Bahrain,EDA Cancelled,4/14/2011,71,71,0,0,0,17332520,3466504,-80.00%,103,717566.328
"CARRIER, ANTITANK","CARRIER, ANTITANK",Grant Authority,1/1/2011,Army,Bahrain,EDA Cancelled,4/14/2011,208,208,0,0,0,81756896,16351379.2,-80.00%,103,3384735.494
M981 CARRIER PERSONNEL,"M981 CARRIER, PERSONNEL",Grant Authority,1/1/2011,Army,Bahrain,EDA Cancelled,4/14/2011,430,430,0,0,0,237947810,47589562,-80.00%,103,9851039.334
M577A2 COMMAND POST CARRIER,"COMMAND POST CARRIER, M577A2",Grant Authority,1/1/2011,Army,Bahrain,EDA Cancelled,4/14/2011,705,705,0,0,0,227840490,45568098,-80.00%,103,9432596.286
"Pipe, Tubing Hose and Fittings","PIPE, TUBING, HOSE, AND FITTINGS",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Lighting Fixtures and Lamps,LIGHTING FIXTURES AND LAMPS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
"Alarm, Signal and Security Detection Systems","Alarm, Signal and Security Detection Systems",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Mine Sweeping Equipment,Mine Sweeping Equipment,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Camouflage Equipment,Camouflage Equipment,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,2596741.61,519348.32,-80.00%,476,107505.1026
Non-aircraft Engine Accessories,Non-aircraft Engine Accessories,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,2596741.61,519348.32,-80.00%,476,107505.1026
Mechanical Power Transmission Equipment,Mechanical Power Transmission Equipment,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,2596741.61,519348.32,-80.00%,476,107505.1026
Bearings,Bearings,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Water Purification Equipment,Water Purification Equipment,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Motor Vehicle Maint. & Rep Shop Specialized Equip.,Motor Vehicle Maint. & Rep Shop Specialized Equip.,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Hand Tools,HAND TOOLS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Measuring Tools,Measuring Tools,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Hardware and Abrasives,Hardware and Abrasives,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,649185.4,129837.08,-80.00%,476,26876.27556
Electrical Wire and Power Distribution,Electrical Wire and Power Distribution,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
Instruments and Laboratory Equipment,INSTRUMENTS AND LABORATORY EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Accepted/LOA Implemented,4/22/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,476,53752.55112
"Antenna, LANTIRN NAV POD","Antenna, LANTIRN NAV POD",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,5/3/2011,7,7,0,0,0,2530848.32,506169.66,-80.00%,122,104777.1203
"Fuel Control, Main, Turbine Eng (T64-100 Engine)","Fuel Control, Main, Turbine Eng (T64-100 Engine)",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,5/3/2011,12,12,0,0,0,1500693.6,750346.8,-50.00%,122,76535.3736
"CGC CHASE, HIGH ENDURANCE CUTTER","CGC RUSH, HIGH ENDURANCE CUTTER",Grant Authority,1/1/2011,Navy,Nigeria,EDA Delivered,5/13/2011,1,1,1,0,1,73421649,7855466,-89.30%,132,2821132.627
"CGC HAMILTON, HIGH ENDURANCE CUTTER","CGC HAMILTON, HIGH ENDURANCE CUTTER",Grant Authority,1/1/2011,Navy,Philippines,EDA Delivered,5/13/2011,1,1,1,0,1,99816983,9981698,-90.00%,132,3813008.741
ALTERNATOR,ALTERNATOR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Accepted/LOA Implemented,5/25/2011,1,1,1,0,0,5784,2892,-50.00%,509,294.984
DOOR VEHICULAR,DOOR VEHICULAR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Accepted/LOA Implemented,5/25/2011,1,1,1,0,0,630,126,-80.00%,509,26.082
DOOR VEHICULAR,DOOR VEHICULAR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Accepted/LOA Implemented,5/25/2011,1,1,1,0,0,637,63.7,-90.00%,509,24.3334
DOOR VEHICULAR,DOOR VEHICULAR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Accepted/LOA Implemented,5/25/2011,1,1,1,0,0,639,127.8,-80.00%,509,26.4546
"ENGINE, W CONTAINER","ENGINE, W CONTAINER",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Accepted/LOA Implemented,5/25/2011,50,50,50,0,0,1967050,393410,-80.00%,509,81435.87
"MORTAR, 60 MM, M19","MORTAR, 60 MM, M19",Grant Authority,1/1/2011,Army,Kenya,Service Authorized to Supply EDA,6/8/2011,38,38,0,0,0,2123402,212340.2,-90.00%,158,81113.9564
"TRIPOD, M122","TRIPOD, M122",Grant Authority,1/1/2011,Army,Kenya,Service Authorized to Supply EDA,6/8/2011,883,883,0,0,0,546577,54657.7,-90.00%,158,20879.2414
CTG 105MM APFSDS-T,CTG 105MM APFSDS-T,Grant Authority,1/1/2010,Army,Morocco,EDA Delivered,6/10/2011,6718,6718,6718,0,6718,3986864.28,1196072.72,-70.00%,525,177814.5768
CTG 105MM HEAT-T-MP,CTG 105MM HEAT-T-MP,Grant Authority,1/1/2010,Army,Morocco,EDA Accepted/LOA Implemented,6/11/2011,7167,7167,0,0,0,4070856,1221256,-70.00%,526,181560.152
"AMMUNITION, CTG 25MM (APDS-T M791)","AMMUNITION, CTG 25MM (APDS-T M791)",Grant Authority,1/1/2010,Army,Morocco,EDA Accepted/LOA Implemented,6/11/2011,151285,151285,0,0,0,1773060,531918,-70.00%,526,79078.476
Rapid 10-526 Bag Scanner,Rapid 10-526 Bag Scanner,Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,1,1,1,0,0,50000,20000,-60.00%,528,2390
Personnel Metal Detector,Personnel Metal Detector,Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,1,1,1,0,0,320,128,-60.00%,528,15.296
AS&E Gemini Bag Scanner,AS&E Gemini Bag Scanner,Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,3,3,3,0,0,150000,60000,-60.00%,528,7170
L-3 Scout Body Scanner,L-3 Scout Body Scanner,Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,5,5,5,0,0,750000,300000,-60.00%,528,35850
Uninterruptable Power Supply Battery Back Up,Uninterruptable Power Supply Battery Back Up,Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,5,5,5,0,0,10000,4000,-60.00%,528,478
Digital Video Recording System,Digital Video Recording System,Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,8,8,8,0,0,48000,19200,-60.00%,528,2294.4
"Bosch G3, PTZ Cameras","Bosch G3, PTZ Cameras",Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,27,27,27,0,0,135000,54000,-60.00%,528,6453
Pelco Fixed Cameras,Pelco Fixed Cameras,Grant Authority,1/1/2010,Army,Iraq,EDA Accepted/LOA Implemented,6/13/2011,32,32,32,0,0,96000,38400,-60.00%,528,4588.8
"ANTENNA, LANTER NAV POD","ANTENNA, LANTER NAV POD",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/15/2011,1,1,0,0,0,361549.76,72309.95,-80.00%,530,14968.16
"CARRIER, COMMAND POST","CARRIER, COMMAND POST",Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,6/15/2011,80,0,2,0,2,25854240,5170848,-80.00%,530,1070365.536
"CARRIER, CARGO","CARRIER, CARGO",Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,6/15/2011,192,0,2,0,2,46871040,9374208,-80.00%,530,1940461.056
"TOWED HOWITZER, M198","TOWED HOWITZER, M198",Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,6/17/2011,54,54,54,0,54,55747278,5574727.8,-90.00%,532,2129546.02
AIRCRAFT/AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT/AIRFRAME STRUCTURAL COMPONENTS,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Indonesia,Service Authorized to Supply EDA,6/24/2011,0,0,0,0,0,4128819.16,412881.92,-90.00%,174,157720.892
AIRCRAFT COMPONENTS AND ACCESSORIES,"AIRCRAFT PARTS, COMPONENTS AND ACCESSORIES",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Indonesia,Service Authorized to Supply EDA,6/24/2011,0,0,0,0,0,9633911.37,963391.14,-90.00%,174,368015.4144
CH-53G SPARE AND REPAIR PARTS,CH-53G SPARE AND REPAIR PARTS,FMS Sales,1/1/2011,Navy,Germany,EDA Accepted/LOA Implemented,6/30/2011,0,0,0,0,0,2000000,1000000,-50.00%,180,102000
11H108 FLIGHT SURFACE CONTROL TRAINERS,11H108 FLIGHT SURFACE CONTROL TRAINERS,FMS Sales,1/1/2011,Navy,Australia,EDA Accepted/LOA Implemented,6/30/2011,7,7,0,0,0,1123780,224756,-80.00%,180,46524.492
"CARRIER, ANTITANK","CARRIER, ANTITANK",Grant Authority,1/1/2011,Army,Greece,Service Authorized to Supply EDA,7/7/2011,10,10,0,0,0,3930620,786124,-80.00%,187,162727.668
"CTG, FLARE, BALLISTICS","CTG, FLARE, BALLISTICS",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,200,200,0,0,0,5000,1500,-70.00%,187,223
"CTG, SIGNAL, SMOKE","CTG, SIGNAL, SMOKE",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,255,255,0,0,0,303.45,91.04,-70.00%,187,13.53403
"CTG, 40 MM, SMOKE","CTG, 40 MM, SMOKE",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,347,144,0,0,0,8286.36,2485.91,-70.00%,187,369.57172
"CTG, SIGNAL, ILLUM","CTG, SIGNAL, ILLUM",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,500,460,0,0,0,9690,2907,-70.00%,187,432.174
"CTG, 40 MM, TARGET","CTG, 40 MM, TARGET",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,600,600,0,0,0,17676,5302.8,-70.00%,187,788.3496
CTG 50 CAL AP,"CTG, 50 CAL AP",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,1000,1000,0,0,0,218000,65400,-70.00%,187,9722.8
"CTG, SIGNAL, ILLUM","CTG, SIGNAL, ILLUM",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,1000,1000,0,0,0,7920,2376,-70.00%,187,353.232
"CTG, SIGNAL, ILLUM","CTG, SIGNAL, ILLUM",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,1000,1000,0,0,0,10790,3237,-70.00%,187,481.234
"CTG, 50 CAL API, M8","CTG, 50 CAL API, M8",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,1672,1470,0,0,0,551.76,165.53,-70.00%,187,24.60856
